epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1227.93,0.71923,0.43627,1.01489,0.9856,0.99481,0.993,0.75306,0.64674,0.42033,1.05546,0.00158847,0.00158847,0.00158847
44,1255.9,0.72533,0.4267,1.04416,0.98308,1,0.99343,0.75444,0.66635,0.35594,1.04739,0.00158475,0.00158475,0.00158475
45,1283.61,0.72378,0.41131,1.04797,0.98175,1,0.99471,0.79273,0.67583,0.36176,1.10264,0.00158094,0.00158094,0.00158094
46,1311.85,0.74387,0.46385,1.05826,0.9809,1,0.995,0.79455,0.62122,0.35274,1.05143,0.00157706,0.00157706,0.00157706
47,1341.06,0.74405,0.44119,1.02083,1,0.98983,0.995,0.77986,0.63569,0.35732,1.05665,0.0015731,0.0015731,0.0015731
48,1369.71,0.72663,0.4299,1.03958,0.99862,0.98343,0.99471,0.78718,0.60382,0.39033,1.0365,0.00156906,0.00156906,0.00156906
49,1397.89,0.70416,0.43136,1.04324,0.98702,0.89497,0.95226,0.68605,0.90418,0.7199,1.22093,0.00156493,0.00156493,0.00156493
50,1425.98,0.68909,0.42586,1.02148,0.99701,1,0.995,0.79385,0.63414,0.34183,1.04978,0.00156073,0.00156073,0.00156073
51,1454.36,0.70649,0.41735,1.03154,0.99834,0.99668,0.995,0.78316,0.62421,0.34497,1.04641,0.00155645,0.00155645,0.00155645
52,1482.96,0.68296,0.41228,1.01703,0.99465,1,0.995,0.78248,0.68922,0.37738,1.09733,0.00155209,0.00155209,0.00155209
53,1512.02,0.66743,0.38601,1.01059,0.98569,0.99872,0.995,0.80266,0.59321,0.32753,1.01805,0.00154765,0.00154765,0.00154765
54,1540.24,0.64717,0.40593,0.99514,0.99595,1,0.995,0.80056,0.58426,0.32165,1.01524,0.00154314,0.00154314,0.00154314
55,1568.3,0.68629,0.41604,1.01835,0.99654,1,0.995,0.78266,0.62062,0.34793,1.04169,0.00153854,0.00153854,0.00153854
56,1596.32,0.68541,0.42958,1.02469,0.99641,1,0.995,0.7925,0.63968,0.33027,1.0538,0.00153388,0.00153388,0.00153388
57,1624.01,0.63677,0.39221,0.99352,0.99862,0.99706,0.995,0.80321,0.59564,0.34668,1.03797,0.00152913,0.00152913,0.00152913
58,1653.54,0.65923,0.39835,0.99623,0.99679,0.99643,0.995,0.78956,0.61283,0.38869,1.03959,0.00152431,0.00152431,0.00152431
59,1681.62,0.65164,0.40158,0.98703,0.99093,1,0.995,0.7913,0.60953,0.32701,1.02892,0.00151942,0.00151942,0.00151942
60,1710.3,0.67052,0.40352,1.02052,0.96655,0.98349,0.99288,0.73165,0.6637,0.49738,1.03794,0.00151445,0.00151445,0.00151445
61,1738.66,0.67267,0.42488,1.00887,0.99594,1,0.995,0.76827,0.65045,0.35557,1.07762,0.00150941,0.00150941,0.00150941
62,1766.76,0.65838,0.39371,1.02248,0.99751,1,0.995,0.81099,0.60124,0.32988,1.02482,0.00150429,0.00150429,0.00150429
63,1795.86,0.70908,0.43131,1.0346,0.99924,0.99996,0.995,0.78058,0.65296,0.36714,1.06454,0.0014991,0.0014991,0.0014991
64,1824.13,0.67214,0.403,1.0152,0.97704,0.99751,0.99429,0.77706,0.60767,0.34259,1.02326,0.00149384,0.00149384,0.00149384
65,1852.37,0.67533,0.4087,1.00777,0.97504,1,0.993,0.8097,0.57928,0.35862,1.01875,0.00148851,0.00148851,0.00148851
66,1880.22,0.66095,0.39943,0.99358,0.98251,1,0.995,0.80229,0.57876,0.34204,1.02607,0.00148311,0.00148311,0.00148311
67,1908.22,0.67331,0.41772,1.01168,0.98158,1,0.99429,0.79101,0.62125,0.36247,1.01769,0.00147764,0.00147764,0.00147764
68,1936.14,0.67003,0.4062,1.0113,0.98037,1,0.99471,0.80741,0.59226,0.35704,1.02716,0.00147209,0.00147209,0.00147209
69,1965.02,0.64655,0.38462,1.01309,0.97322,0.99684,0.99471,0.80273,0.62042,0.35898,1.05558,0.00146648,0.00146648,0.00146648
70,1993.71,0.66959,0.40946,1.01765,0.99927,0.99815,0.995,0.81163,0.58046,0.32706,1.00927,0.0014608,0.0014608,0.0014608
71,2021.82,0.66135,0.39695,1.00734,0.99573,0.99492,0.995,0.80729,0.55085,0.32449,1.00759,0.00145505,0.00145505,0.00145505
72,2050.15,0.65398,0.40414,0.99123,0.97758,1,0.995,0.78444,0.59908,0.34304,1.02069,0.00144924,0.00144924,0.00144924
73,2078.42,0.62107,0.39386,0.97183,0.97977,0.99977,0.99471,0.79099,0.57471,0.34018,1.01121,0.00144335,0.00144335,0.00144335
74,2107.11,0.69068,0.43259,1.0072,0.99632,1,0.995,0.78881,0.59387,0.33859,1.01693,0.00143741,0.00143741,0.00143741
75,2135.92,0.66501,0.42465,1.01237,0.98197,1,0.995,0.82974,0.56611,0.31569,1.01696,0.00143139,0.00143139,0.00143139
76,2164.31,0.64066,0.3787,0.96672,0.98366,1,0.995,0.81727,0.57061,0.32273,0.99059,0.00142531,0.00142531,0.00142531
77,2192.54,0.63245,0.37198,0.99462,0.99328,1,0.995,0.80359,0.57461,0.32094,1.01186,0.00141917,0.00141917,0.00141917
78,2220.47,0.66271,0.37836,0.99799,0.99618,1,0.995,0.82436,0.58223,0.32212,1.01608,0.00141297,0.00141297,0.00141297
79,2248.87,0.64961,0.38422,1.00268,0.99675,1,0.995,0.79761,0.63681,0.31239,1.05275,0.0014067,0.0014067,0.0014067
80,2277.09,0.68608,0.39232,1.02518,0.99678,1,0.995,0.80035,0.61376,0.32534,1.03034,0.00140037,0.00140037,0.00140037
81,2305.84,0.61461,0.36667,0.99339,0.99569,1,0.995,0.81109,0.58454,0.3137,1.04091,0.00139398,0.00139398,0.00139398
82,2334.15,0.61057,0.34319,0.99153,0.98367,1,0.995,0.81785,0.58894,0.30226,1.02956,0.00138753,0.00138753,0.00138753
83,2362.14,0.64383,0.36299,1.00779,0.97962,1,0.99471,0.78375,0.57533,0.33489,1.03038,0.00138101,0.00138101,0.00138101
84,2389.69,0.62859,0.35963,0.97046,0.98035,0.98718,0.98995,0.76798,0.6501,0.35803,1.06808,0.00137444,0.00137444,0.00137444
85,2417.6,0.6156,0.36424,0.97726,0.97623,0.9994,0.99471,0.79207,0.60238,0.32697,1.04178,0.00136781,0.00136781,0.00136781
86,2445.39,0.63498,0.38079,0.98594,0.98295,1,0.995,0.80579,0.58125,0.31384,1.02969,0.00136113,0.00136113,0.00136113
87,2474.13,0.64279,0.36439,1.00906,0.98132,1,0.995,0.80894,0.57741,0.2976,1.02397,0.00135438,0.00135438,0.00135438
88,2501.96,0.61354,0.35499,0.99709,0.9953,1,0.995,0.79407,0.57705,0.30074,1.03716,0.00134758,0.00134758,0.00134758
89,2529.93,0.63252,0.3681,0.9819,0.99394,1,0.995,0.81215,0.57129,0.2826,1.00058,0.00134073,0.00134073,0.00134073
90,2557.78,0.61282,0.36056,0.98233,0.9831,1,0.995,0.81022,0.57153,0.29668,1.01936,0.00133382,0.00133382,0.00133382
91,2586.16,0.58681,0.33072,0.95751,0.997,1,0.995,0.83259,0.56348,0.29136,1.01061,0.00132685,0.00132685,0.00132685
92,2614.09,0.59828,0.35503,0.95766,0.98109,1,0.99471,0.81367,0.54981,0.29264,0.99793,0.00131984,0.00131984,0.00131984
93,2643.08,0.59198,0.33082,0.96931,0.98189,0.99974,0.99429,0.79532,0.57147,0.30423,1.02514,0.00131277,0.00131277,0.00131277
94,2670.97,0.61404,0.36566,0.97788,0.96524,0.99897,0.99429,0.7908,0.57669,0.34771,1.01036,0.00130565,0.00130565,0.00130565
95,2699.14,0.59068,0.35387,0.9557,0.98319,1,0.99429,0.80014,0.57369,0.32097,1.01799,0.00129847,0.00129847,0.00129847
